title,company,location,contract,description,date,link
"Trade Officer (H/F) - Douala, Yaoundé, Bafoussam",AREKO GROUP,Bafoussam - Douala & Yaoundé,CDI,"AURE RH Recruitment Services Sarl ,  Membre de AREKO GROUP , recrute pour une entreprise spécialisée dans l’agroalimentaire,  Un (e)   Trade Officer (H/F).    Missions :    Exécuter le plan opérationnel validé par le département marketing dans son territoire d’action ;  Être garant de l’image et de la notoriété de nos marques commerciales et institutionnelle dans son périmètre de couverture via les respects du code de conduite attaché à sa fonction ;  Veiller à l’atteinte des objectifs quantitatifs et qualitatifs assignés à chaque opération sous sa responsabilité ;  Interface marketing avec nos partenaires media ; hors-media modern et traditionnal trade dans le but d’assurer une communication...+plus",2025-07-07,https://www.emploi.cm/offre-emploi-cameroun/trade-officer-hf-douala-yaounde-bafoussam-1074712
Comptable (H/F)  - Yaoundé,MEN BUILDER SARL,Yaoundé,CDI,Nous sommes à la recherche des  Comptables (H/F).+plus,2025-07-04,https://www.emploi.cm/offre-emploi-cameroun/comptable-hf-yaounde-1074621
Gestionnaire Paie - Yaoundé,MEN BUILDER SARL,Yaoundé,CDI,Nous sommes à la recherche des  Gestionnaires Paie.    Mission :    Gestion de la paie+plus,2025-07-04,https://www.emploi.cm/offre-emploi-cameroun/gestionnaire-paie-yaounde-1074623
Ingénieur Télécom - Toutes Les Grandes Villes,MEN BUILDER SARL,Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua,CDI,"Nous  sommes à la recherche des  Ingénieurs Télécoms.    Mission :    installation , configuration , déploiement équipements fibre optique et télécoms+plus",2025-07-04,https://www.emploi.cm/offre-emploi-cameroun/ingenieur-telecom-toutes-grandes-villes-1074624
Community Manager (H/F) - Yaoundé,CALL CENTER,Yaoundé,CDD,"Nous sommes à la recherche d' un  Community Manager (H/F).    Missions / Responsabilités    Proposer un calendrier éditorial mensuel aligné avec la stratégie globale.  Gérer les comptes de réseaux sociaux de l’entreprise : Facebook, Instagram, TikTok, LinkedIn, Twitter, etc.  Créer et publier des contenus engageants et pertinents (textes, visuels, vidéos, stories, reels…).  Animer les communautés, répondre aux commentaires et messages, assurer un lien constant avec les abonnés.  Valoriser les activités et réussites du centre (formations, événements, promotions, témoignages…).   Réaliser une veille des tendances, proposer des actions innovantes et créatives.  Analyser les performances des publications...+plus",2025-07-04,https://www.emploi.cm/offre-emploi-cameroun/community-manager-hf-yaounde-1074446
Enseignant de Langue - Yaoundé,CALL CENTER,Yaoundé,CDD,"Nous sommes à la recherche d'un  Enseignant de Langue.    Missions et responsabilités    Enseigner la langue allemande, anglaise ou italienne à des élèves ou des étudiants de niveau A1 à C2  Préparer et dispenser des cours théoriques et pratiques  Évaluer les progrès des élèves ou des étudiants  Participer à la création de matériel pédagogique  Collaborer avec les autres enseignants pour développer les programmes de langue+plus",2025-07-04,https://www.emploi.cm/offre-emploi-cameroun/enseignant-langue-yaounde-1074451
Électronicien Engins Lourds (H/F) - Douala,AREKO GROUP,Douala,CDI,"AURE RH Recruitment Services Sarl ,  Membre de AREKO GROUP , recrute pour un de ses clients du secteur de l’automobile,  Un(e) Électronicien.e Engins Lourds.    Mission principale :   Diagnostiquer, entretenir et réparer les systèmes mécaniques, électriques et électroniques des véhicules poids lourds. Assurer le bon fonctionnement des composants électroniques embarqués pour garantir sécurité, conformité et fiabilité de la flotte.   Responsabilités :     Diagnostiquer les pannes électroniques  à l’aide d’outils spécifiques (multimètres, valises de diagnostic, logiciels constructeurs, etc.) ;   Lire et interpréter les schémas électriques et électroniques  des engins, en identifiant les composants...+plus",2025-07-04,https://www.emploi.cm/offre-emploi-cameroun/electronicien-engins-lourds-hf-douala-1074513
Gestionnaire de Résidences Hôtelière et Loisirs  - Douala - Yatchika - Yansoki,SCI AGROBEEZ,Douala,"CDI, CDD, Intérim, Stage, Freelance, Alternance & Temps partiel","Nous recherchons un(e) personne passionné(e) pour prendre les rênes d'un établissement de tourisme et de loisirs dynamique, comprenant :   Hébergement : Offrez à nos clients une expérience de séjour inoubliable.  Restauration : Sublimez les papilles de nos convives avec une cuisine savoureuse et créative.  Attractions : Faites vivre des moments de joie et de détente grâce à notre piscine, notre parc et nos activités ludiques.       Vos missions, si vous les acceptez :    Stratégie et performance : Définissez et mettez en œuvre une politique commerciale et managériale ambitieuse, axée sur la rentabilité, la qualité et la sécurité.  Pilotage opérationnel : Supervisez l'ensemble des services (accueil, entretien,...+plus",2025-07-03,https://www.emploi.cm/offre-emploi-cameroun/gestionnaire-residences-hoteliere-loisirs-douala-yatchika-yansoki-1074328
Détacheur/ Préparateur - Yaoundé,ALFYA GROUP,Yaoundé,CDD,Nous sommes à la recherche d'un  Détacheur/ Préparateur.+plus,2025-07-02,https://www.emploi.cm/offre-emploi-cameroun/detacheur-preparateur-yaounde-1074183
Blanchisseur - Yaoundé,ALFYA GROUP,Yaoundé,CDD,Nous sommes à la recherche d'un  Blanchisseur.+plus,2025-07-02,https://www.emploi.cm/offre-emploi-cameroun/blanchisseur-yaounde-1074182
